senator,twitter_handle,state,party
"Baldwin, Tammy",SenatorBaldwin,WI,D
"Barrasso, John",SenJohnBarrasso,WY,R
"Bennet, Michael F.",SenatorBennet,CO,D
"Blackburn, Marsha",MarshaBlackburn,TN,R
"Blumenthal, Richard",SenBlumenthal,CT,D
"Blunt, Roy",RoyBlunt,MO,R
"Booker, Cory A.",CoryBooker,NJ,D
"Boozman, John",JohnBoozman,AR,R
"Braun, Mike",SenatorBraun,IN,R
"Brown, Sherrod",SenSherrodBrown,OH,D
"Burr, Richard",SenatorBurr,NC,R
"Cantwell, Maria",SenatorCantwell,WA,D
"Capito, Shelley Moore",SenCapito,WV,R
"Cardin, Benjamin L.",SenatorCardin,MD,D
"Carper, Thomas R.",SenatorCarper,DE,D
"Casey, Robert P. Jr.",SenBobCasey,PA,D
"Cassidy, Bill",SenBillCassidy,LA,R
"Collins, Susan M.",SenatorCollins,ME,R
"Coons, Christopher A.",ChrisCoons,DE,D
"Cornyn, John",JohnCornyn,TX,R
"Cortez Masto, Catherine",SenCortezMasto,NV,D
"Cotton, Tom",SenTomCotton,AK,R
"Cramer, Kevin",SenKevinCramer,ND,R
"Crapo, Mike",MikeCrapo,ID,R
"Cruz, Ted",SenTedCruz,TX,R
"Daines, Steve",SteveDaines,MT,R
"Duckworth, Tammy",SenDuckworth,IL,D
"Durbin, Richard J.",SenatorDurbin,IL,D
"Ernst, Joni",SenJoniErnst,IA,R
"Feinstein, Dianne",SenFeinstein,CA,D
"Fischer, Deb",SenatorFischer,NE,R
"Gillibrand, Kirsten E.",SenGillibrand,NY,D
"Graham, Lindsey",LindseyGrahamSC,SC,R
"Grassley, Chuck",ChuckGrassley,IA,R
"Hagerty, Bill",SenatorHagerty,TN,R
"Hassan, Margaret Wood",SenatorHassan,NH,D
"Hawley, Josh",HawleyMO,MO,R
"Heinrich, Martin",MartinHeinrich,NM,D
"Hickenlooper, John W.",SenatorHick,CO,D
"Hirono, Mazie K.",maziehirono,HI,D
"Hoeven, John",SenJohnHoeven,ND,R
"Hyde-Smith, Cindy",SenHydeSmith,MS,R
"Inhofe, James M.",JimInhofe,OK,R
"Johnson, Ron",SenRonJohnson,WI,R
"Kaine, Tim",timkaine,VA,D
"Kelly, Mark",SenMarkKelly,AZ,D
"Kennedy, John",SenJohnKennedy,LA,R
"King, Angus S. Jr.",SenAngusKing,ME,I
"Klobuchar, Amy",SenAmyKlobuchar,MN,D
"Lankford, James",SenatorLankford,OK,R
"Leahy, Patrick J.",SenatorLeahy,VT,D
"Lee, Mike",SenMikeLee,UT,R
"Luján, Ben Ray",SenatorLujan,NM,D
"Lummis, Cynthia M.",SenLummis,WY,R
"Manchin, Joe, III",Sen_JoeManchin,WV,D
"Markey, Edward J.",SenMarkey,MA,D
"Marshall, Roger",SenatorMarshall,KS,R
"McConnell, Mitch",senatemajldr,KY,R
"Menendez, Bob",SenatorMenendez,NJ,D
"Merkley, Jeff",SenJeffMerkley,OR,D
"Moran, Jerry",JerryMoran,KS,R
"Murkowski, Lisa",lisamurkowski,AK,R
"Murphy, Christopher",ChrisMurphyCT,CT,D
"Murrary, Patty",PattyMurray,WA,D
"Ossoff, Jon",ossoff,GA,D
"Padilla, Alex",SenAlexPadilla,CA,D
"Paul, Rand",RandPaul,KY,R
"Peters, Gary C.",SenGaryPeters,MI,D
"Portman, Rob",senrobportman,OH,R
"Reed, Jack",SenJackReed,RI,D
"Risch, James E.",SenatorRisch,ID,R
"Romney, Mitt",SenatorRomney,UT,R
"Rosen, Jacky",SenJackyRosen,NV,D
"Rounds, Mike",SenatorRounds,SD,R
"Rubio, Marco",marcorubio,FL,R
"Sanders, Bernard",SenSanders,VT,I
"Sasse, Ben",SenSasse,NE,R
"Schatz, Brian",SenBrianSchatz,HI,D
"Schumer, Charles E.",SenSchumer,NY,D
"Scott, Rick",SenRickScott,FL,R
"Scott, Tim",SenatorTimScott,SC,R
"Shaheen, Jeanne",SenatorShaheen,NH,D
"Shelby, Richard C.",SenShelby,AL,R
"Sinema, Kyrsten",SenatorSinema,AZ,D
"Smith, Tina",SenTinaSmith,MN,D
"Stabenow, Debbie",SenStabenow,MI,D
"Sullivan, Dan",SenDanSullivan,AK,R
"Tester, Jon",SenatorTester,MT,D
"Thune, John",SenJohnThune,SD,R
"Tillis, Thom",SenThomTillis,NC,R
"Toomey, Patrick J.",SenToomey,PA,R
"Tuberville, Tommy",SenTuberville,AL,R
"Van Hollen, Chris",ChrisVanHollen,MD,D
"Warner, Mark R.",MarkWarner,VA,D
"Warnock, Raphael G.",SenatorWarnock,GA,D
"Warren, Elizabeth",SenWarren,MA,D
"Whitehouse, Sheldon",SenWhitehouse,RI,D
"Wicker, Roger F.",SenatorWicker,MS,R
"Wyden, Ron",RonWyden,OR,D
"Young, Todd",SenToddYoung,IN,R
